Region,iso3,Country,City,Year,Annual.mean,Temporal coverage,note on converted PM10,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Bida Zayed,2013,146,NA,Measured,(62)-converted value,NA,Converted,"1 station, urban/residential","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Gayathi,2013,145,NA,Measured,(61)-converted value,NA,Converted,"1 station, urban","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Liwa Oasis,2013,133,NA,Measured,(56)-converted value,NA,Converted,"1 station, regional background","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Americas (LMIC),ARG,Argentina,Buenos Aires,2016,27,>75%,Measured,(12)-converted value,NA,Converted,3 N.A.,Agencia de Proteccion Ambiental,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2012,17,>75%,Measured,7,>75%,Measured,"4 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2013,17,>75%,Measured,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2014,17,>75%,Measured,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2015,16,>75%,Measured,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2016,16,>75%,Measured,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Albany,2010,16,NA,Measured,(7)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Albany,2011,14,NA,Measured,(6)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Albany,2012,15,NA,Measured,(7)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Albany,2013,15,NA,Measured,(7)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Albany,2014,16,NA,Measured,(7)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Albany,2015,16,NA,Measured,(7)-converted value,NA,Converted,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Albany,2016,18,>75%,Measured,(8)-converted value,NA,Converted,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Albury,2013,16,>75%,Measured,(7)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Albury,2014,16,>75%,Measured,(7)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Albury,2015,15,>75%,Measured,(6)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Albury,2016,15,>75%,Measured,(7)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Ayr,2015,24,>75%,Measured,(10)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
