Region,iso3,Country,City,Year,Annual.mean,Temporal coverage,note on converted PM10,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Americas (HIC),CAN,Canada,Saguenay,2015,(15)-converted value,NA,Converted,8,>75%,Measured,1 Residential,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Saint John,2015,(11)-converted value,NA,Converted,6,>75%,Measured,3 Residential,New Brunswick Department of Environment and Local Government,2018,
Americas (HIC),CAN,Canada,Saint-Faustin-Lac-Carre,2015,(10)-converted value,NA,Converted,6,>75%,Measured,1 Forested,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Saint-Jean-Sur-Richelieu,2015,(10)-converted value,NA,Converted,6,>75%,Measured,1 Agricultural,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Saint-Simon,2015,(13)-converted value,NA,Converted,7,>75%,Measured,1 Agricultural,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Saint-Zephirin-De-Courval,2015,(13)-converted value,NA,Converted,7,>75%,Measured,1 Agricultural,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Sarnia,2015,(15)-converted value,NA,Converted,8,>75%,Measured,1 Parks,Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,Saskatoon,2015,(19)-converted value,NA,Converted,11,>75%,Measured,1 Residential,Saskatchewan Ministry of Environment,2018,
Americas (HIC),CAN,Canada,Sault Ste. Marie,2015,(11)-converted value,NA,Converted,6,>75%,Measured,1 Commercial,Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,Senneterre,2015,(9)-converted value,NA,Converted,5,>75%,Measured,1 Forested,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Sherbrooke,2015,(12)-converted value,NA,Converted,7,>75%,Measured,1 Residential,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Simcoe,2015,(14)-converted value,NA,Converted,8,>75%,Measured,1 Agricultural,Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,Smithers,2015,(15)-converted value,NA,Converted,8,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,Southampton,2015,(6)-converted value,NA,Converted,3,>75%,Measured,1 Agricultural,"Prince Edward Island Department of Communities, Land and Environment",2018,
Americas (HIC),CAN,Canada,Squamish,2015,(14)-converted value,NA,Converted,8,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,St Lina,2015,(13)-converted value,NA,Converted,7,>75%,Measured,1 Forested,Alberta Environment and Parks,2018,
Americas (HIC),CAN,Canada,St-Hilaire-De-Dorset,2015,(11)-converted value,NA,Converted,6,>75%,Measured,1 Forested,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,St. Andrews,2015,(11)-converted value,NA,Converted,6,>75%,Measured,1 Parks,New Brunswick Department of Environment and Local Government,2018,
Americas (HIC),CAN,Canada,St. Catharines,2015,(15)-converted value,NA,Converted,8,>75%,Measured,1 Residential,Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,St. John's,2015,(14)-converted value,NA,Converted,8,>75%,Measured,1 Residential,"Newfoundland and Labrador Department of Municipal Affairs and Environment
",2018,
Americas (HIC),CAN,Canada,Steeper,2015,(5)-converted value,NA,Converted,3,>75%,Measured,1 Forested,Alberta Environment and Parks,2018,
Americas (HIC),CAN,Canada,Stukely-Sud,2015,(11)-converted value,NA,Converted,6,>75%,Measured,1 Forested,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Sudbury,2015,7,>75%,Measured,6,>75%,Measured,1 Residential,Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,Surrey,2015,(11)-converted value,NA,Converted,6,>75%,Measured,1 Residential,"Metro Vancouver Parks, Planning & Environment Department",2018,
Americas (HIC),CAN,Canada,Sydney,2015,(10)-converted value,NA,Converted,6,>75%,Measured,1 Residential,Nova Scotia Environment,2018,
Americas (HIC),CAN,Canada,Terrace,2015,(10)-converted value,NA,Converted,5,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,Thomson,2013,12,NA,Measured,4,NA,Measured,"1 station, NA",National Air Pollution Surveillance Network.,2016,
Americas (HIC),CAN,Canada,Thorsby,2015,(7)-converted value,NA,Converted,4,>75%,Measured,1 Agricultural,Alberta Environment and Parks,2018,
Americas (HIC),CAN,Canada,Thunder Bay,2015,(12)-converted value,NA,Converted,6,>75%,Measured,1 Residential,Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,Tingwick,2015,(11)-converted value,NA,Converted,6,>75%,Measured,1 Agricultural,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Tiverton,2015,(11)-converted value,NA,Converted,6,>75%,Measured,1 Agricultural,Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,Tomahawk,2015,(9)-converted value,NA,Converted,5,>75%,Measured,1 Agricultural,Alberta Environment and Parks,2018,
Americas (HIC),CAN,Canada,Toronto,2015,(16)-converted value,NA,Converted,9,>75%,Measured,"1 Commercial, 2 Industrial, 2 Residential",Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,Trois-Rivieres,2013,(19)-converted value,NA,Converted,11,NA,Measured,-,National Air Pollution Surveillance Network.,2016,
Americas (HIC),CAN,Canada,Vancouver,2013,(12)-converted value,NA,Converted,7,NA,Measured,-,National Air Pollution Surveillance Network.,2016,
Americas (HIC),CAN,Canada,Vanderhoof,2015,(16)-converted value,NA,Converted,9,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,Varennes,2015,(15)-converted value,NA,Converted,8,>75%,Measured,1 Agricultural,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Vernon,2015,(16)-converted value,NA,Converted,9,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,Victoria,2015,(11)-converted value,NA,Converted,6,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,Wapasu,2015,(14)-converted value,NA,Converted,8,>75%,Measured,1 Forested,Alberta Environment and Parks,2018,
Americas (HIC),CAN,Canada,West Vancouver,2015,(9)-converted value,NA,Converted,5,>75%,Measured,1 Residential,"Metro Vancouver Parks, Planning & Environment Department",2018,
Americas (HIC),CAN,Canada,Whistler,2015,(15)-converted value,NA,Converted,8,>75%,Measured,1 Parks,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,Whitehorse,2015,(10)-converted value,NA,Converted,6,>75%,Measured,1 Residential,Government of Yukon Department of Environment,2018,
Americas (HIC),CAN,Canada,Williams Lake,2015,15,>75%,Measured,7,>75%,Measured,1 Residential,British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,Windsor,2015,(17)-converted value,NA,Converted,9,>75%,Measured,2 Residential,Ontario Ministry of Environment and Climate Change,2018,
Americas (HIC),CAN,Canada,Winnipeg,2015,22,>75%,Measured,6,>75%,Measured,2 Residential,Manitoba Department of Sustainable Development,2018,
Americas (HIC),CAN,Canada,Yellowknife,2015,16,>75%,Measured,8,>75%,Measured,1 Residential,Government of Northwest Territories Environment and Natural Resources,2018,
Europe (HIC),CHE,Switzerland,Aadorf,2013,15,>75%,Measured,(11)-converted value,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Aadorf,2015,13,>75%,Measured,(10)-converted value,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Aadorf,2016,11,>75%,Measured,(8)-converted value,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Aigle,2010,23,NA,Measured,(17)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Aigle,2011,24,NA,Measured,(18)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Aigle,2012,22,NA,Measured,(16)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Aigle,2013,22,NA,Measured,(16)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Aigle,2014,17,NA,Measured,(13)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Aigle,2015,20,NA,Measured,(14)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Altdorf,2010,18,NA,Measured,(13)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Altdorf,2011,19,NA,Measured,(14)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Altdorf,2012,15,NA,Measured,(11)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Altdorf,2013,18,NA,Measured,(13)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Altdorf,2014,14,NA,Measured,(10)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Altdorf,2015,15,NA,Measured,(11)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Altdorf,2016,12,NA,Measured,(8)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Anieres,2010,17,NA,Measured,(13)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Anieres,2011,20,NA,Measured,(15)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Anieres,2012,16,NA,Measured,(12)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Arbon,2011,20,NA,Measured,(14)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Arbon,2013,19,NA,Measured,(14)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Avully,2010,18,NA,Measured,(13)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Avully,2011,19,NA,Measured,(14)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Avully,2012,16,NA,Measured,(12)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Avully,2013,17,>75%,Measured,(13)-converted value,NA,Converted,"1 Background, 1 Rural-Background","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Avully,2014,14,NA,Measured,(11)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Avully,2015,16,>75%,Measured,(12)-converted value,NA,Converted,"1 Background, 1 Rural-Background","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Avully,2016,14,>75%,Measured,(10)-converted value,NA,Converted,"1 Background, 1 Rural-Background","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Baden,2010,19,NA,Measured,(14)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Baden,2011,20,NA,Measured,(15)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Baden,2012,18,NA,Measured,(13)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Baden,2013,19,NA,Measured,(14)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Baden,2014,16,NA,Measured,(11)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Baden,2015,18,NA,Measured,(13)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Baden,2016,16,NA,Measured,(11)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Basel,2010,22,NA,Measured,14,NA,Measured,"1 Background, 1 Traffic",BAFU,2018,
Europe (HIC),CHE,Switzerland,Basel,2011,22,NA,Measured,14,NA,Measured,"1 Background, 1 Traffic",BAFU,2018,
Europe (HIC),CHE,Switzerland,Basel,2012,20,NA,Measured,12,NA,Measured,"1 Background, 1 Traffic",BAFU,2018,
Europe (HIC),CHE,Switzerland,Basel,2013,21,>75%,Measured,14,NA,Measured,"1 Background, 1 Traffic, 1 Urban-Background, 1 Urban-Traffic","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Basel,2014,17,NA,Measured,9,NA,Measured,"1 Background, 1 Traffic",BAFU,2018,
Europe (HIC),CHE,Switzerland,Basel,2015,19,>75%,Measured,12,NA,Measured,"1 Background, 1 Traffic, 1 Urban-Background","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Basel,2016,17,>75%,Measured,10,NA,Measured,"1 Background, 1 Traffic, 1 Urban-Background, 1 Urban-Traffic","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Bern,2010,27,NA,Measured,18,NA,Measured,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bern,2011,26,NA,Measured,20,NA,Measured,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bern,2012,19,NA,Measured,(14)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bern,2013,24,>75%,Measured,(18)-converted value,NA,Converted,"1 Traffic, 2 Urban-Traffic","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Bern,2014,16,NA,Measured,(12)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bern,2015,22,>75%,Measured,13,>75%,Measured,"1 Traffic, 2 Urban-Traffic","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Bern,2016,19,>75%,Measured,12,NA,Measured,"1 Traffic, 1 Urban-Traffic","BAFU, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),CHE,Switzerland,Bevaix,2015,14,NA,Measured,(11)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bevaix,2016,13,NA,Measured,(10)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biberist,2010,22,NA,Measured,(16)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biberist,2011,19,NA,Measured,(14)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biberist,2012,18,NA,Measured,(13)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biberist,2013,19,NA,Measured,(14)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biberist,2014,15,NA,Measured,(11)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biberist,2015,16,NA,Measured,(12)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biberist,2016,15,NA,Measured,(11)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biel,2010,19,NA,Measured,(14)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biel,2011,20,NA,Measured,(15)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biel,2013,18,NA,Measured,(13)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biel,2014,16,NA,Measured,(12)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Biel,2016,14,NA,Measured,(10)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Binningen,2013,17,>75%,Measured,(13)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Binningen,2015,15,>75%,Measured,(11)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Binningen,2016,14,>75%,Measured,(10)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Bioggio,2010,28,NA,Measured,(20)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bioggio,2011,32,NA,Measured,(24)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bioggio,2012,31,NA,Measured,(23)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bioggio,2013,26,NA,Measured,(19)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bioggio,2014,22,NA,Measured,(16)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bioggio,2015,28,NA,Measured,(21)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bioggio,2016,24,NA,Measured,(18)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bodio,2010,24,NA,Measured,(18)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bodio,2011,25,NA,Measured,(19)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bodio,2012,22,NA,Measured,(16)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bodio,2013,21,NA,Measured,(15)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bodio,2014,19,NA,Measured,(14)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bodio,2015,22,NA,Measured,(16)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bodio,2016,19,NA,Measured,(14)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brigerbad,2010,19,NA,Measured,(14)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brigerbad,2011,21,NA,Measured,(15)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brigerbad,2012,16,NA,Measured,(12)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brigerbad,2013,16,NA,Measured,(12)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brigerbad,2014,14,NA,Measured,(10)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brigerbad,2015,15,NA,Measured,(11)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brigerbad,2016,15,NA,Measured,(11)-converted value,NA,Converted,1 Industry,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brione,2010,15,NA,Measured,(11)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brione,2011,17,NA,Measured,(12)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brione,2012,16,NA,Measured,(12)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brione,2013,15,NA,Measured,(11)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brione,2014,12,NA,Measured,(9)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brione,2015,14,NA,Measured,(10)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Brione,2016,13,NA,Measured,(10)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bulle,2010,18,NA,Measured,(13)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bulle,2011,18,NA,Measured,(13)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bulle,2012,16,NA,Measured,(12)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bulle,2013,17,NA,Measured,(13)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bulle,2014,13,NA,Measured,(10)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bulle,2016,13,NA,Measured,(10)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bussigny,2013,20,NA,Measured,(15)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Bussigny,2015,18,NA,Measured,(14)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Cadenazzo,2013,19,>75%,Measured,(14)-converted value,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Cadenazzo,2015,19,>75%,Measured,(14)-converted value,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Cadenazzo,2016,16,>75%,Measured,(12)-converted value,NA,Converted,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),CHE,Switzerland,Camignolo,2010,22,NA,Measured,(16)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Camignolo,2011,27,NA,Measured,(20)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Camignolo,2012,24,NA,Measured,(17)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Camignolo,2013,21,NA,Measured,(16)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Camignolo,2014,16,NA,Measured,(12)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Camignolo,2015,20,NA,Measured,(15)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Camignolo,2016,17,NA,Measured,(12)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Castaneda,2010,13,NA,Measured,(9)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Castaneda,2011,15,NA,Measured,(11)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Castaneda,2012,13,NA,Measured,(10)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Castaneda,2013,12,NA,Measured,(9)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chaumont,2010,8,NA,Measured,(6)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chaumont,2011,9,NA,Measured,(7)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chaumont,2012,8,NA,Measured,(6)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chaumont,2013,8,NA,Measured,(6)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chaumont,2014,7,NA,Measured,(5)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chaumont,2015,8,NA,Measured,(6)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chaumont,2016,6,NA,Measured,(5)-converted value,NA,Converted,1 Background,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chiasso,2010,32,NA,Measured,(23)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chiasso,2011,38,NA,Measured,(28)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chiasso,2012,35,NA,Measured,(25)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chiasso,2013,30,NA,Measured,(22)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chiasso,2014,25,NA,Measured,(19)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chiasso,2015,32,NA,Measured,(24)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chiasso,2016,22,NA,Measured,(16)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chur,2010,20,NA,Measured,(14)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chur,2011,20,NA,Measured,(15)-converted value,NA,Converted,1 Traffic,BAFU,2018,
Europe (HIC),CHE,Switzerland,Chur,2012,16,NA,Measured,(12)-converted value,NA,Converted,"1 Background, 1 Traffic",BAFU,2018,
Europe (HIC),CHE,Switzerland,Chur,2013,16,NA,Measured,(12)-converted value,NA,Converted,"1 Background, 1 Traffic",BAFU,2018,
Europe (HIC),CHE,Switzerland,Chur,2014,12,NA,Measured,(9)-converted value,NA,Converted,"1 Background, 1 Traffic",BAFU,2018,
